prompt,prefix,suffix,title
"wearing fluffy Santa hoodie, raising her hand lightly, text color white, text""はーい""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.53 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing elegant red Santa dress with gold trim, approving bright smile, text color white, text""いいですね""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.54 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing white Christmas-themed Santa coat, polite bow, text color white, text""よろしくお願いします""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.55 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing red Santa robe in warm morning light, cheerful greeting smile, text color white, text""おはようございます""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.56 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing deep red Santa cape under lantern lights, calm evening smile, text color white, text""こんばんは""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.57 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing cozy Santa parka with scarf, warming breath, text color white, text""寒いですねー""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.58 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing classic Santa dress, gentle tired smile, text color white, text""お疲れ様です""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.59 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing soft winter Santa coat, holding a warm drink, text color white, text""あたたくして過ごしてね""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.60 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing fluffy Santa pajamas-style outfit, sleepy gentle eyes, text color white, text""おやすみなさい""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.61 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing festive Santa dress, warm grateful smile, text color white, text""いつもありがとう""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.62 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing ivory Santa cape, bowing deeply, text color white, text""ぺこり""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.63 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing red Santa outfit with fluffy sleeves, polite request gesture, text color white, text""お願いします""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.64 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing vibrant Santa costume, joyful excited pose, text color white, text""わーいやったー""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.65 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing soft white-fur Santa coat, gentle worried eyes, text color white, text""無理しないでね""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.66 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing Christmas medical-theme ribbon on Santa outfit, caring expression, text color white, text""風邪に気を付けましょう""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.67 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing cozy brown Santa robe, holding heat pack, text color white, text""身体はあたためてね""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.68 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing kitchen-style Santa apron over red dress, warm smile, text color white, text""温かいものを食べよう""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.69 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing blue-toned Santa winter coat, soft concerned eyes, text color white, text""寒さにお気をつけて""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.70 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing ice-white Santa outfit in snowstorm, shocked cold face, text color white, text""寒すぎるー""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.71 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing mint Santa dress, nodding gently, text color white, text""うんうん""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.72 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing gold-accent Santa costume, holding small calendar, text color white, text""楽しみにしてます""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.73 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing pastel Santa outfit with sparkles, excited bright eyes, text color white, text""わくわく""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.74 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing classic red Santa and holding small wreath, festive glow, text color white, text""Merry Christmas""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.75 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing modern white Santa suit, soft warm lighting, text color white, text""Merry Xmas""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.76 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing green-accent Santa dress, holding a wrapped present, text color white, text""プレゼントありがとう""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.77 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing red fluffy Santa dress, peeking into a gift box, text color white, text""クリスマスプレゼントかな？""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.78 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing sparkly gold Santa outfit, warm holiday wish, text color white, text""ステキなクリスマスになりますように""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.79 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing champagne Santa coat, soft reflective smile, text color white, text""今年もお世話になりました""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.80 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing winter Santa poncho, warm polite bow, text color white, text""来年もよろしくお願いします""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.81 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing pure white Santa outfit, elegant gentle bow, text color white, text""よいお年をお迎えください""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.82 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing festive red Santa kimono-hybrid dress, bright smile, text color white, text""あけましておめでとうございます""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.83 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing playful petite Santa dress, cheerful grin, text color white, text""あけおめ""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.84 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing soft pastel Santa outfit, hopeful clasped hands, text color white, text""いいことたくさんありますように""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.85 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing white-and-pink Santa dress, dreamy gentle eyes, text color white, text""幸せいっぱいの1年になりますように""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.86 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing classic red Santa with money pouch, shy cute smile, text color white, text""お年玉待ってます""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.87 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing Santa outfit with small opened pouch, grateful smile, text color white, text""お年玉ありがとう""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.88 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing formal white Santa cloak with gold embroidery, poised expression, text color white, text""謹賀新年""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.89 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing icy blue Santa skirt outfit, morning-like gentle smile, text color white, text""今年もよろしくお願いします""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.90 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing cheerful Santa hoodie, casual friendly look, text color white, text""ことよろ""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.91 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing elegant premium Santa dress, refined polite tone, text color white, text""本年もよろしくお願いします""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.92 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing warm beige Santa robe, hopeful soft smile, text color white, text""良い年になりますように""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.93 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing fluffy Santa pajamas, wrapped in blanket, text color white, text""ゆっくり休みます""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.94 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing clean winter Santa outfit, calm sincere expression, text color white, text""健康第一""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.95 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
